base_year,crs,zone_system,network_variant_ref,landuse_variant_ref,demand_variant_ref,params_variant_ref,active_network_ref,day_types,scenario_id,label,is_counterfactual,parent_scenario_id,trunk_mode,gtfs_variant_ref,signal_variant_ref,parking_variant_ref,road_variant_ref,purpose,notes,n_replications,seed_list,sensitivity_grid_ref
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S0,Heavy rail retained to Newcastle station,1,,heavy_rail,schedules/scenarios/S0.zip,S0_no_tram,park_2026_pre_lr,net_base2026_hunter_st_full_capacity,Primary counterfactual: the line is not cut,"Modernised frequency and interchange, not the 2014 service as-is (proposal s9, counterfactual naivety). Hunter St retains the road capacity and kerbside parking that the tram removed.",30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S1,"Bus shuttle from Wickham, no light rail",1,,bus_shuttle,schedules/scenarios/S1.zip,S0_no_tram,park_2026_pre_lr,net_base2026_hunter_st_full_capacity,The December 2012 policy as originally announced,"10 minute headway, 8 stops, mixed traffic.",30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S2,"Light rail as built (wire-free, current signals)",0,,light_rail,schedules/scenarios/S2.zip,S2_base,park_2026,net_base2026,Actual. The reference case for every comparison,Charging dwell 20 s per intermediate stop; no transit signal priority.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S2a,"Light rail, charging dwell removed",1,S2,light_rail,schedules/scenarios/S2a.zip,S2_base,park_2026,net_base2026,Isolates the wire-free decision (secondary question S-a),dwell_charging_s set to 0 at all stops; everything else identical to S2.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S2b,Light rail with full transit signal priority,1,S2,light_rail,schedules/scenarios/S2b.zip,S2b_full_tsp,park_2026,net_base2026,Isolates signal priority (secondary question S-b),Green extension plus early start at all 14 corridor intersections; 75 per cent of tram signal delay removed.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S2c,Light rail on the Option A alignment,1,S2,light_rail,schedules/scenarios/S2c.zip,S2c_reserved_alignment,park_2026_pre_lr,net_base2026_hunter_st_full_capacity,The route with plurality public support that was not selected,"Reserved former-railway alignment: 60 km/h line speed, few at-grade conflicts, and Hunter Street keeps its road capacity.",30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S3,Bus rapid transit on the same alignment,1,,brt,schedules/scenarios/S3.zip,S3_brt_priority,park_2026,net_base2026,The alternative the 2020 Strategic Business Case later favoured,Same 6 stops and same lane take as the tram; 7.5 minute headway.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S4,Light rail extended to Broadmeadow,1,S2,light_rail,schedules/scenarios/S4.zip,S2_base,park_2026,net_base2026_broadmeadow_extension,Trunk-length hypothesis (secondary question S-c),Adds Hamilton and Broadmeadow; corridor length rises from 2.7 to 5.2 km.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S5,Light rail to Broadmeadow and John Hunter Hospital,1,S4,light_rail,schedules/scenarios/S5.zip,S2_base,park_2026,net_base2026_jhh_extension,Upper bound of the plausible network,Adds Lambton and John Hunter Hospital; corridor length about 9.5 km.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
2026,EPSG:28356,SA1 core / SA2 external,net_base2026,lu_2026,demand_2026_seed20260810,C1_v1,A6_base2026,WEEKDAY|SAT|SUN,S6,"No trunk mode; walk, cycle and local bus only",1,,none,schedules/scenarios/S6.zip,S0_no_tram,park_2026_pre_lr,net_base2026_hunter_st_full_capacity,Lower bound,Light rail removed and not replaced.,30,20260810;20260811;20260812;20260813;20260814;20260815;20260816;20260817;20260818;20260819;20260820;20260821;20260822;20260823;20260824;20260825;20260826;20260827;20260828;20260829;20260830;20260831;20260832;20260833;20260834;20260835;20260836;20260837;20260838;20260839,params/C1_sensitivity_sweep_grid.csv
